,MSSubClass,MSZoning,LotArea,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterCond,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BedroomAbvGr,TotRmsAbvGrd,Functional,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,60,RL,8450,Inside,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,TA,PConc,706,0,150,856,GasA,Ex,856,854,0,1710,3,8,Typ,2,548,0,61,0,0,0,0,0,2,2008,WD,Normal,208500
1,20,RL,9600,FR2,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,TA,CBlock,978,0,284,1262,GasA,Ex,1262,0,0,1262,3,6,Typ,2,460,298,0,0,0,0,0,0,5,2007,WD,Normal,181500
2,60,RL,11250,Inside,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,TA,PConc,486,0,434,920,GasA,Ex,920,866,0,1786,3,6,Typ,2,608,0,42,0,0,0,0,0,9,2008,WD,Normal,223500
3,70,RL,9550,Corner,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,TA,BrkTil,216,0,540,756,GasA,Gd,961,756,0,1717,3,7,Typ,3,642,0,35,272,0,0,0,0,2,2006,WD,Abnorml,140000
4,60,RL,14260,FR2,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,TA,PConc,655,0,490,1145,GasA,Ex,1145,1053,0,2198,4,9,Typ,3,836,192,84,0,0,0,0,0,12,2008,WD,Normal,250000
5,50,RL,14115,Inside,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,TA,Wood,732,0,64,796,GasA,Ex,796,566,0,1362,1,5,Typ,2,480,40,30,0,320,0,0,700,10,2009,WD,Normal,143000
6,20,RL,10084,Inside,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,TA,PConc,1369,0,317,1686,GasA,Ex,1694,0,0,1694,3,7,Typ,2,636,255,57,0,0,0,0,0,8,2007,WD,Normal,307000
7,60,RL,10382,Corner,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,TA,CBlock,859,32,216,1107,GasA,Ex,1107,983,0,2090,3,7,Typ,2,484,235,204,228,0,0,0,350,11,2009,WD,Normal,200000
8,50,RM,6120,Inside,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,TA,BrkTil,0,0,952,952,GasA,Gd,1022,752,0,1774,2,8,Min1,2,468,90,0,205,0,0,0,0,4,2008,WD,Abnorml,129900
9,190,RL,7420,Corner,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,TA,BrkTil,851,0,140,991,GasA,Ex,1077,0,0,1077,2,5,Typ,1,205,0,4,0,0,0,0,0,1,2008,WD,Normal,118000
10,20,RL,11200,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,TA,CBlock,906,0,134,1040,GasA,Ex,1040,0,0,1040,3,5,Typ,1,384,0,0,0,0,0,0,0,2,2008,WD,Normal,129500
11,60,RL,11924,Inside,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,TA,PConc,998,0,177,1175,GasA,Ex,1182,1142,0,2324,4,11,Typ,3,736,147,21,0,0,0,0,0,7,2006,New,Partial,345000
12,20,RL,12968,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,TA,CBlock,737,0,175,912,GasA,TA,912,0,0,912,2,4,Typ,1,352,140,0,0,0,176,0,0,9,2008,WD,Normal,144000
13,20,RL,10652,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,TA,PConc,0,0,1494,1494,GasA,Ex,1494,0,0,1494,3,7,Typ,3,840,160,33,0,0,0,0,0,8,2007,New,Partial,279500
14,20,RL,10920,Corner,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,TA,CBlock,733,0,520,1253,GasA,TA,1253,0,0,1253,2,5,Typ,1,352,0,213,176,0,0,0,0,5,2008,WD,Normal,157000
15,45,RM,6120,Corner,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,TA,BrkTil,0,0,832,832,GasA,Ex,854,0,0,854,2,5,Typ,2,576,48,112,0,0,0,0,0,7,2007,WD,Normal,132000
16,20,RL,11241,CulDSac,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,TA,CBlock,578,0,426,1004,GasA,Ex,1004,0,0,1004,2,5,Typ,2,480,0,0,0,0,0,0,700,3,2010,WD,Normal,149000
17,90,RL,10791,Inside,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,TA,Slab,0,0,0,0,GasA,TA,1296,0,0,1296,2,6,Typ,2,516,0,0,0,0,0,0,500,10,2006,WD,Normal,90000
18,20,RL,13695,Inside,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,TA,PConc,646,0,468,1114,GasA,Ex,1114,0,0,1114,3,6,Typ,2,576,0,102,0,0,0,0,0,6,2008,WD,Normal,159000
19,20,RL,7560,Inside,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,TA,CBlock,504,0,525,1029,GasA,TA,1339,0,0,1339,3,6,Min1,1,294,0,0,0,0,0,0,0,5,2009,COD,Abnorml,139000
20,60,RL,14215,Corner,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,TA,PConc,0,0,1158,1158,GasA,Ex,1158,1218,0,2376,4,9,Typ,3,853,240,154,0,0,0,0,0,11,2006,New,Partial,325300
21,45,RM,7449,Inside,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,TA,PConc,0,0,637,637,GasA,Ex,1108,0,0,1108,3,6,Typ,1,280,0,0,205,0,0,0,0,6,2007,WD,Normal,139400
22,20,RL,9742,Inside,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,TA,PConc,0,0,1777,1777,GasA,Ex,1795,0,0,1795,3,7,Typ,2,534,171,159,0,0,0,0,0,9,2008,WD,Normal,230000
23,120,RM,4224,Inside,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,TA,PConc,840,0,200,1040,GasA,TA,1060,0,0,1060,3,6,Typ,2,572,100,110,0,0,0,0,0,6,2007,WD,Normal,129900
24,20,RL,8246,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,Gd,CBlock,188,668,204,1060,GasA,Ex,1060,0,0,1060,3,6,Typ,1,270,406,90,0,0,0,0,0,5,2010,WD,Normal,154000
25,20,RL,14230,Corner,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,TA,PConc,0,0,1566,1566,GasA,Ex,1600,0,0,1600,3,7,Typ,3,890,0,56,0,0,0,0,0,7,2009,WD,Normal,256300
26,20,RL,7200,Corner,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,TA,CBlock,234,486,180,900,GasA,TA,900,0,0,900,3,5,Typ,2,576,222,32,0,0,0,0,0,5,2010,WD,Normal,134800
27,20,RL,11478,Inside,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,TA,PConc,1218,0,486,1704,GasA,Ex,1704,0,0,1704,3,7,Typ,3,772,0,50,0,0,0,0,0,5,2010,WD,Normal,306000
28,20,RL,16321,CulDSac,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,TA,CBlock,1277,0,207,1484,GasA,TA,1600,0,0,1600,2,6,Typ,1,319,288,258,0,0,0,0,0,12,2006,WD,Normal,207500
