Id,MSSubClass,MSZoning,LotArea,LotConfig,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BedroomAbvGr,TotRmsAbvGrd,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SalePrice
0,60,RL,8450,Inside,7,5,2003,2003,706,0,150,856,856,854,0,1710,3,8,2,548,0,61,0,0,0,0,0,2,2008,WD,208500
1,20,RL,9600,FR2,6,8,1976,1976,978,0,284,1262,1262,0,0,1262,3,6,2,460,298,0,0,0,0,0,0,5,2007,WD,181500
2,60,RL,11250,Inside,7,5,2001,2002,486,0,434,920,920,866,0,1786,3,6,2,608,0,42,0,0,0,0,0,9,2008,WD,223500
3,70,RL,9550,Corner,7,5,1915,1970,216,0,540,756,961,756,0,1717,3,7,3,642,0,35,272,0,0,0,0,2,2006,WD,140000
4,60,RL,14260,FR2,8,5,2000,2000,655,0,490,1145,1145,1053,0,2198,4,9,3,836,192,84,0,0,0,0,0,12,2008,WD,250000
5,50,RL,14115,Inside,5,5,1993,1995,732,0,64,796,796,566,0,1362,1,5,2,480,40,30,0,320,0,0,700,10,2009,WD,143000
6,20,RL,10084,Inside,8,5,2004,2005,1369,0,317,1686,1694,0,0,1694,3,7,2,636,255,57,0,0,0,0,0,8,2007,WD,307000
7,60,RL,10382,Corner,7,6,1973,1973,859,32,216,1107,1107,983,0,2090,3,7,2,484,235,204,228,0,0,0,350,11,2009,WD,200000
8,50,RM,6120,Inside,7,5,1931,1950,0,0,952,952,1022,752,0,1774,2,8,2,468,90,0,205,0,0,0,0,4,2008,WD,129900
9,190,RL,7420,Corner,5,6,1939,1950,851,0,140,991,1077,0,0,1077,2,5,1,205,0,4,0,0,0,0,0,1,2008,WD,118000
10,20,RL,11200,Inside,5,5,1965,1965,906,0,134,1040,1040,0,0,1040,3,5,1,384,0,0,0,0,0,0,0,2,2008,WD,129500
11,60,RL,11924,Inside,9,5,2005,2006,998,0,177,1175,1182,1142,0,2324,4,11,3,736,147,21,0,0,0,0,0,7,2006,New,345000
12,20,RL,12968,Inside,5,6,1962,1962,737,0,175,912,912,0,0,912,2,4,1,352,140,0,0,0,176,0,0,9,2008,WD,144000
13,20,RL,10652,Inside,7,5,2006,2007,0,0,1494,1494,1494,0,0,1494,3,7,3,840,160,33,0,0,0,0,0,8,2007,New,279500
